"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 22 16:59:36 GMT 2024","Fri Mar 22 16:59:38 GMT 2024","2671","","StepsTest","","StepsTest","yandexSearchFieldAnnotatedTest","yandexSearchFieldAnnotatedTest()",""
"passed","Fri Mar 22 16:59:26 GMT 2024","Fri Mar 22 16:59:32 GMT 2024","5838","","AttachmentsTest","","AttachmentsTest","yandexSearchFieldLambdaTest","yandexSearchFieldLambdaTest()",""
"passed","Fri Mar 22 16:59:32 GMT 2024","Fri Mar 22 16:59:32 GMT 2024","535","","AttachmentsTest","","AttachmentsTest","yandexSearchFieldAnnotatedTest","yandexSearchFieldAnnotatedTest()",""
"passed","Fri Mar 22 16:59:32 GMT 2024","Fri Mar 22 16:59:33 GMT 2024","870","","SelenideTest","","SelenideTest","yandexSearchFieldTest","yandexSearchFieldTest()",""
"passed","Fri Mar 22 16:59:33 GMT 2024","Fri Mar 22 16:59:36 GMT 2024","2406","","StepsTest","","StepsTest","yandexSearchFieldLambdaTest","yandexSearchFieldLambdaTest()",""
"passed","Fri Mar 22 16:59:32 GMT 2024","Fri Mar 22 16:59:32 GMT 2024","2","","LabelsTest","","LabelsTest","testDynamicLabels","Создание Issue для авторизированного пользователя",""
"passed","Fri Mar 22 16:59:32 GMT 2024","Fri Mar 22 16:59:32 GMT 2024","2","","LabelsTest","","LabelsTest","testStaticLabels","Создание Issue для авторизированного пользователя",""
